rror deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:15,169] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:15,169] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:15,169] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:15,169] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,354] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,354] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,354] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,354] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,355] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,355] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,355] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,356] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,356] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,356] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,356] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,356] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:18,356] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,165] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,165] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,165] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,165] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,165] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,165] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,166] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,166] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,181] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,181] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,181] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,181] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:20,181] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,362] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,362] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,362] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,362] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,362] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,362] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,362] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,362] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,363] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,363] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,363] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,363] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:34:21,363] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:35:37,320] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,320] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,320] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,321] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,321] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,321] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,321] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,321] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,321] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,321] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,322] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:37,322] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:35:39,873] [WARNING] Error adding document to meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,756] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,756] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,757] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,757] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,757] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,757] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,758] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,758] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,758] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,759] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,759] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,759] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:37:57,759] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,071] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,071] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,071] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,071] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,071] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,071] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,072] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,072] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,072] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,072] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,072] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,072] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:00,072] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,948] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,948] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,949] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,949] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,949] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,949] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,949] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,950] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,950] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,962] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,962] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,962] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:02,963] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,225] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,225] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,226] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,226] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,226] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,226] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,241] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,241] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,241] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,241] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,242] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,242] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:10,242] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,375] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,375] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,375] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,375] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,375] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,375] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,375] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,376] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,376] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,376] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,376] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,376] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:24,404] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,599] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,599] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,599] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,599] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,599] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,599] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,599] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,600] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,600] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,600] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,600] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,600] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:26,600] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,139] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,139] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,140] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:31,141] [WARNING] Error deleting document from meilisearch: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:38:45,213] [DEBUG] IDE websocket disconnected
[2023-10-17 00:38:45,213] [DEBUG] Closing ide websocket
[2023-10-17 00:39:00,889] [DEBUG] Health check
[2023-10-17 00:39:03,005] [DEBUG] Accepted websocket connection from Address(host='127.0.0.1', port=51354)
[2023-10-17 00:39:03,774] [DEBUG] Received message while initializing workspaceDirectory
[2023-10-17 00:39:03,944] [DEBUG] Received message while initializing uniqueId
[2023-10-17 00:39:03,997] [DEBUG] New session: None
[2023-10-17 00:39:04,000] [DEBUG] Loaded Continue config file from C:\Users\chudds\.continue\config.py
[2023-10-17 00:39:04,043] [DEBUG] Starting context manager
[2023-10-17 00:39:04,045] [WARNING] Failed to load saved_context_groups.json: Expecting value: line 1 column 1 (char 0). Reverting to empty list.
[2023-10-17 00:39:04,076] [DEBUG] Sending session id: fd0a9658-f9f1-4524-8181-a217dc421845
[2023-10-17 00:39:08,613] [DEBUG] IDE websocket disconnected
[2023-10-17 00:39:08,613] [DEBUG] Closing ide websocket
[2023-10-17 00:39:08,731] [DEBUG] Starting MeiliSearch...
[2023-10-17 00:39:08,739] [DEBUG] Meilisearch started
[2023-10-17 00:39:09,518] [DEBUG] Loading Meilisearch index...
[2023-10-17 00:39:09,562] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:39:09,562] [DEBUG] Loaded 0 documents into meilisearch in 0.0019989013671875 seconds for context provider code
[2023-10-17 00:39:09,572] [DEBUG] Loaded 1 documents into meilisearch in 0.012511491775512695 seconds for context provider diff
[2023-10-17 00:39:10,283] [DEBUG] Error loading meilisearch index: 'list' object has no attribute 'items'
[2023-10-17 00:39:12,258] [WARNING] Failed to kill process on port 7700 (no such process)
[2023-10-17 00:39:12,258] [DEBUG] Using MeiliSearch at URL: http://localhost:7700
[2023-10-17 00:39:12,269] [DEBUG] Loaded 1 documents into meilisearch in 2.7091212272644043 seconds for context provider url
[2023-10-17 00:39:12,269] [DEBUG] Loaded 1 documents into meilisearch in 2.7091212272644043 seconds for context provider terminal
[2023-10-17 00:39:29,573] [DEBUG] Error loading meilisearch index: 
[2023-10-17 00:39:29,573] [DEBUG] Loaded Meilisearch index
[2023-10-17 00:42:18,483] [DEBUG] Health check
[2023-10-17 00:42:20,711] [DEBUG] Accepted websocket connection from Address(host='127.0.0.1', port=51770)
[2023-10-17 00:42:20,847] [DEBUG] Received message while initializing workspaceDirectory
[2023-10-17 00:42:21,083] [DEBUG] Received message while initializing uniqueId
[2023-10-17 00:42:21,689] [DEBUG] New session: None
[2023-10-17 00:42:21,692] [DEBUG] Loaded Continue config file from C:\Users\chudds\.continue\config.py
[2023-10-17 00:42:21,738] [DEBUG] Starting context manager
[2023-10-17 00:42:21,740] [WARNING] Failed to load saved_context_groups.json: Expecting value: line 1 column 1 (char 0). Reverting to empty list.
[2023-10-17 00:42:21,782] [DEBUG] Sending session id: a6f1c69f-55bd-49f2-94f9-eb9c05a9e29c
[2023-10-17 00:42:26,382] [DEBUG] Starting MeiliSearch...
[2023-10-17 00:42:26,387] [DEBUG] Meilisearch started
[2023-10-17 00:42:27,178] [DEBUG] Loading Meilisearch index...
[2023-10-17 00:42:27,204] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 00:42:27,205] [DEBUG] Loaded 0 documents into meilisearch in 0.002001047134399414 seconds for context provider code
[2023-10-17 00:42:27,211] [DEBUG] Loaded 1 documents into meilisearch in 0.0075054168701171875 seconds for context provider diff
[2023-10-17 00:42:27,945] [DEBUG] Error loading meilisearch index: 'list' object has no attribute 'items'
[2023-10-17 00:42:28,874] [WARNING] Failed to kill process on port 7700 (no such process)
[2023-10-17 00:42:28,874] [DEBUG] Using MeiliSearch at URL: http://localhost:7700
[2023-10-17 00:42:28,884] [DEBUG] Loaded 1 documents into meilisearch in 1.6807351112365723 seconds for context provider terminal
[2023-10-17 00:42:28,884] [DEBUG] Loaded 1 documents into meilisearch in 1.6807351112365723 seconds for context provider url
[2023-10-17 00:42:37,740] [DEBUG] IDE websocket disconnected
[2023-10-17 00:42:37,740] [DEBUG] Closing ide websocket
[2023-10-17 00:42:47,205] [DEBUG] Error loading meilisearch index: 
[2023-10-17 00:42:47,205] [DEBUG] Loaded Meilisearch index
[2023-10-17 00:58:54,229] [DEBUG] Health check
[2023-10-17 00:58:56,361] [DEBUG] Accepted websocket connection from Address(host='127.0.0.1', port=53607)
[2023-10-17 00:58:56,491] [DEBUG] Received message while initializing workspaceDirectory
[2023-10-17 00:58:56,493] [DEBUG] Received message while initializing uniqueId
[2023-10-17 00:58:57,462] [DEBUG] New session: None
[2023-10-17 00:58:57,465] [DEBUG] Loaded Continue config file from C:\Users\chudds\.continue\config.py
[2023-10-17 00:58:57,510] [DEBUG] Starting context manager
[2023-10-17 00:58:57,513] [WARNING] Failed to load saved_context_groups.json: Expecting value: line 1 column 1 (char 0). Reverting to empty list.
[2023-10-17 00:58:57,558] [DEBUG] Sending session id: 52f7ac1d-4b6f-48c4-a3c0-aa0fcbb542f1
[2023-10-17 00:59:02,186] [DEBUG] Starting MeiliSearch...
[2023-10-17 00:59:02,189] [DEBUG] Meilisearch started
[2023-10-17 00:59:02,974] [DEBUG] Loading Meilisearch index...
[2023-10-17 00:59:02,994] [DEBUG] Error loading meilisearch index: 'list' object has no attribute 'items'
[2023-10-17 00:59:04,765] [WARNING] Failed to kill process on port 7700 (no such process)
[2023-10-17 00:59:04,765] [DEBUG] Using MeiliSearch at URL: http://localhost:7700
[2023-10-17 00:59:07,054] [DEBUG] Error loading meilisearch index: MeilisearchCommunicationError, All connection attempts failed
[2023-10-17 00:59:07,055] [DEBUG] Loaded Meilisearch index
[2023-10-17 01:03:15,892] [DEBUG] IDE websocket disconnected
[2023-10-17 01:03:15,893] [DEBUG] Closing ide websocket
[2023-10-17 01:12:46,016] [DEBUG] Health check
[2023-10-17 01:12:48,821] [DEBUG] Accepted websocket connection from Address(host='127.0.0.1', port=55146)
[2023-10-17 01:12:49,706] [DEBUG] Received message while initializing workspaceDirectory
[2023-10-17 01:12:49,945] [DEBUG] Received message while initializing getSessionId
[2023-10-17 01:12:50,048] [DEBUG] Received message while initializing uniqueId
[2023-10-17 01:12:50,079] [DEBUG] New session: None
[2023-10-17 01:12:50,082] [DEBUG] Loaded Continue config file from C:\Users\chudds\.continue\config.py
[2023-10-17 01:12:50,135] [DEBUG] Starting context manager
[2023-10-17 01:12:50,137] [WARNING] Failed to load saved_context_groups.json: Expecting value: line 1 column 1 (char 0). Reverting to empty list.
[2023-10-17 01:12:50,184] [DEBUG] Sending session id: 1e701d41-6e76-481b-94dd-b36107e8f262
[2023-10-17 01:12:54,806] [DEBUG] Starting MeiliSearch...
[2023-10-17 01:12:54,809] [DEBUG] Meilisearch started
[2023-10-17 01:12:55,583] [DEBUG] Loading Meilisearch index...
[2023-10-17 01:12:55,706] [WARNING] Error sending IDE message, websocket probably closed: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
[2023-10-17 01:12:55,706] [DEBUG] Loaded 0 documents into meilisearch in 0.0009989738464355469 seconds for context provider code
[2023-10-17 01:12:55,706] [DEBUG] Error loading meilisearch index: 'list' object has no attribute 'items'
[2023-10-17 01:12:58,213] [DEBUG] Using MeiliSearch at URL: http://localhost:7700
[2023-10-17 01:12:58,239] [DEBUG] IDE websocket disconnected
[2023-10-17 01:12:58,240] [DEBUG] Closing ide websocket
[2023-10-17 22:35:47,764] [DEBUG] ------ Begin Logs ------
[2023-10-17 22:35:48,352] [DEBUG] ------ Begin Logs ------
[2023-10-17 22:35:48,903] [DEBUG] Accepted websocket connection from Address(host='127.0.0.1', port=53134)
[2023-10-17 22:35:48,950] [DEBUG] Accepted websocket connection from Address(host='127.0.0.1', port=53129)
[2023-10-17 22:35:49,294] [DEBUG] ------ Cleaning Up ------
[2023-10-17 22:35:49,592] [DEBUG] Received message while initializing workspaceDirectory
[2023-10-17 22:35:49,621] [DEBUG] Received message while initializing uniqueId
[2023-10-17 22:35:49,683] [DEBUG] Received message while initializing getSessionId
[2023-10-17 22:35:50,122] [DEBUG] Received message while initializing workspaceDirectory
[2023-10-17 22:35:50,158] [DEBUG] New session: None
[2023-10-17 22:35:50,211] [DEBUG] ------ Begin Logs ------
[2023-10-17 22:35:50,420] [DEBUG] Loaded Continue config file from C:\Users\chudds\.continue\config.py
[2023-10-17 22:35:50,492] [DEBUG] Starting context manager
